temperatureMax,apparentTemperatureMin,windBearing,dewPoint,cloudCover,windSpeed,temperatureMin,apparentTemperatureMax,pressure,visibility,precipType,humidity,uvIndex,energy_sum,holiday_id,cluster2,cluster3,cluster4,cluster5,cluster6
8.39,4.77,84.0,5.9,0.66,2.11,5.69,8.23,1025.57,2.9,0,0.91,2.0,10224.230000200001,0,1,2,3,4,2
14.29,5.29,206.0,6.42,0.55,3.5,7.06,14.29,1018.94,7.44,0,0.82,2.0,10559.8529995,0,1,2,3,4,2
9.32,-0.88,270.0,4.87,0.65,2.19,3.92,7.01,1016.56,10.36,0,0.9,1.0,11645.9329997,0,1,2,0,0,3
9.37,-1.21,318.0,-0.17,0.48,8.01,4.04,5.56,1021.21,13.07,0,0.64,2.0,11101.2879981,0,1,2,0,0,3
7.22,-0.25,317.0,1.63,0.55,1.93,3.74,7.22,1025.17,12.55,0,0.78,2.0,11569.9239985,0,1,2,0,0,3
10.75,1.87,242.0,3.86,0.46,4.26,5.14,10.75,1017.5,11.8,0,0.78,2.0,11456.4409945,0,1,2,0,0,3
12.03,-0.33,275.0,1.64,0.29,3.54,3.26,12.03,1030.58,12.96,0,0.68,2.0,10936.7969952,0,1,2,0,0,3
10.86,4.48,241.0,5.51,0.64,4.01,6.74,10.86,1034.68,13.02,0,0.78,2.0,11160.1160028,0,1,2,3,4,3
15.39,6.66,279.0,8.37,0.53,3.15,8.74,15.39,1036.42,11.17,0,0.81,2.0,11030.6550032,0,0,1,3,4,3
15.55,6.04,304.0,7.37,0.38,1.25,6.82,15.55,1036.86,10.59,0,0.81,2.0,11145.2880031,0,0,1,3,4,3
13.86,4.46,355.0,6.53,0.41,1.02,5.43,13.86,1035.0,4.76,0,0.87,2.0,10361.4270008,0,1,2,3,4,2
10.89,4.71,73.0,5.45,0.79,1.55,6.36,10.89,1034.58,6.08,0,0.86,2.0,10579.0040019,0,1,2,3,4,2
12.41,3.37,108.0,4.08,0.54,2.03,5.03,12.41,1031.31,6.61,0,0.8,2.0,10772.6629986,0,1,2,3,4,2
16.79,1.59,205.0,5.72,0.32,1.41,2.82,16.79,1024.51,3.2,0,0.82,3.0,11024.7819983,0,1,2,3,4,2
9.75,6.07,234.0,5.04,0.89,4.2,8.5,7.32,1018.93,9.4,0,0.76,2.0,11682.8399989,0,1,2,3,4,3
10.75,5.11,204.0,6.99,0.52,3.44,7.37,10.75,1012.96,9.3,0,0.87,2.0,12305.5110002,0,1,2,3,4,2
9.76,1.58,307.0,3.89,0.38,1.84,3.98,8.03,1017.33,11.57,0,0.82,2.0,12641.6590003,0,1,2,0,0,3
13.27,-0.32,267.0,1.41,0.17,2.68,1.69,13.27,1032.01,11.46,0,0.68,3.0,11840.9169972,0,1,2,0,0,3
14.48,1.97,259.0,4.41,0.34,2.42,4.33,14.48,1034.75,13.05,0,0.72,2.0,11728.8880043,0,1,2,3,0,3
15.62,5.38,70.0,4.93,0.47,1.87,7.44,15.62,1034.03,12.6,0,0.67,3.0,11657.0790001,0,0,1,3,2,3
15.81,3.51,80.0,5.28,0.1,3.71,6.14,15.81,1029.23,6.63,0,0.72,3.0,11674.3059955,0,1,2,3,4,3
19.48,6.74,88.0,7.29,0.07,1.01,6.74,19.48,1026.63,5.05,0,0.74,3.0,11956.156995000001,0,0,1,3,2,2
18.83,6.42,83.0,6.81,0.08,2.12,6.42,18.83,1028.59,6.12,0,0.74,3.0,12160.822000600001,0,0,1,3,2,3
13.79,2.47,70.0,4.69,0.39,2.58,4.4,13.79,1033.5,9.0,0,0.78,3.0,12719.7530023,0,1,2,3,4,3
18.18,2.4,77.0,4.3,0.15,2.85,3.84,18.18,1036.22,8.16,0,0.71,3.0,12011.9020022,0,0,1,3,2,3
18.26,4.77,76.0,1.49,0.14,2.09,5.32,18.26,1036.33,11.64,0,0.53,3.0,11643.8829984,0,0,1,1,2,3
21.14,4.88,9.0,1.45,0.1,0.82,4.88,21.14,1032.69,12.62,0,0.49,3.0,11703.841003200001,0,0,1,1,2,3
19.16,5.82,329.0,5.11,0.19,1.76,6.89,19.16,1027.92,10.85,0,0.61,4.0,11490.5100003,0,0,1,1,2,3
17.12,6.71,314.0,6.67,0.16,1.28,7.81,17.12,1024.2,7.5,0,0.71,3.0,11492.2810011,0,0,1,3,2,3
11.09,4.29,15.0,3.71,0.61,3.31,6.58,11.09,1019.84,11.22,0,0.71,3.0,12862.4179994,0,1,2,3,4,3
12.88,1.12,342.0,-0.04,0.25,1.15,2.43,12.88,1020.81,12.83,0,0.61,3.0,13271.955999900001,0,1,2,0,0,3
15.04,3.98,289.0,2.18,0.24,1.14,3.98,15.04,1011.19,12.46,0,0.63,3.0,12586.533995400001,0,1,2,0,0,3
12.92,5.04,262.0,4.77,0.31,1.72,5.04,12.92,1003.25,11.12,0,0.75,3.0,13122.631001,0,1,2,3,0,3
10.18,1.87,100.0,3.03,0.49,1.03,3.57,10.18,1006.81,11.47,0,0.75,3.0,13499.7730018,0,1,2,0,0,3
8.92,2.59,53.0,3.06,0.7,4.6,4.61,6.47,1018.58,9.64,0,0.76,3.0,14275.2579984,0,1,2,3,0,3
12.28,-1.43,321.0,0.39,0.35,2.48,0.34,12.28,1016.01,13.05,0,0.65,3.0,14166.7920061,1,1,2,0,3,4
10.48,6.42,2.0,4.36,0.72,2.09,6.86,10.48,1012.32,11.64,0,0.75,3.0,13829.7639992,0,1,2,3,4,3
13.08,4.57,245.0,6.43,0.72,2.85,6.52,13.08,1012.36,10.83,0,0.81,3.0,14225.8859987,0,1,2,3,4,3
10.81,5.58,222.0,7.97,0.72,5.9,8.31,10.81,997.57,11.15,0,0.89,3.0,14258.770001300001,0,1,2,3,4,3
12.9,2.8,238.0,3.93,0.37,5.0,5.94,12.9,990.03,13.18,0,0.7,4.0,13588.5529993,0,1,2,0,0,3
12.91,1.97,250.0,2.74,0.31,1.67,3.57,12.91,996.99,13.1,0,0.7,4.0,14119.7639964,0,1,2,0,0,3
12.13,2.56,266.0,4.07,0.32,1.31,3.68,12.13,1002.96,12.02,0,0.77,4.0,14596.467000300001,0,1,2,0,0,3
12.02,2.81,9.0,3.93,0.45,0.65,3.97,12.02,1005.09,8.8,0,0.77,4.0,14815.5060032,0,1,2,3,4,2
11.62,3.66,38.0,3.07,0.47,3.41,5.67,11.62,1007.83,10.62,0,0.72,4.0,15362.4070013,0,1,2,3,0,3
9.12,-0.3,4.0,0.21,0.25,4.65,3.3,6.16,1019.5,13.33,0,0.66,4.0,16667.267002,0,1,2,0,0,3
10.94,-0.22,274.0,-1.87,0.37,0.59,1.96,10.94,1024.8,12.78,0,0.59,4.0,16168.6310018,0,1,2,0,0,3
13.77,1.82,213.0,2.85,0.42,4.94,5.16,13.77,1002.45,12.55,0,0.71,4.0,16977.2919989,0,1,2,0,0,3
10.01,2.76,174.0,5.74,0.6,5.1,6.27,10.01,982.22,11.86,0,0.87,3.0,17798.1860032,0,1,2,3,4,3
9.93,3.41,256.0,6.34,0.67,3.78,6.47,8.05,984.05,10.7,0,0.91,4.0,18145.6230022,0,1,2,3,4,2
12.46,2.92,244.0,5.19,0.37,3.28,5.34,12.46,993.06,11.52,0,0.83,4.0,17916.4219996,0,1,2,3,0,3
12.45,1.57,261.0,3.41,0.35,3.63,3.78,12.45,997.0,12.76,0,0.73,4.0,18058.704998,0,1,2,0,0,3
14.03,2.21,239.0,4.69,0.29,4.35,4.76,14.03,1002.51,13.12,0,0.78,4.0,18821.7139962,0,1,2,0,0,3
9.67,4.53,130.0,5.63,0.63,2.4,6.89,7.28,995.32,11.68,0,0.86,4.0,18552.9709988,0,1,2,3,4,3
12.48,4.03,329.0,4.68,0.57,2.91,6.99,12.48,996.88,11.75,0,0.76,4.0,18690.7389993,0,1,2,3,4,3
11.94,2.27,157.0,6.86,0.57,5.44,6.55,11.94,988.28,11.22,0,0.88,4.0,20039.3240011,0,1,2,3,4,3
13.89,5.94,208.0,6.93,0.56,7.61,9.23,13.89,993.73,12.5,0,0.77,4.0,19379.3840003,0,1,2,3,4,3
14.84,6.84,213.0,7.23,0.49,4.14,9.28,14.84,1009.84,12.92,0,0.77,4.0,19492.9649986,0,0,1,3,4,3
10.03,2.18,37.0,7.3,0.74,4.9,6.46,10.03,1014.81,9.06,0,0.92,4.0,21802.2870051,0,1,2,3,4,2
14.89,1.49,74.0,6.86,0.7,4.98,5.99,14.89,1004.79,10.28,0,0.86,4.0,23521.635999000002,0,1,2,3,4,2
17.15,6.21,110.0,7.05,0.32,4.69,8.68,17.15,1012.09,13.13,0,0.68,5.0,19711.5680002,0,0,1,1,2,0
17.24,11.28,81.0,10.76,0.61,1.85,11.28,17.24,1015.82,9.29,0,0.84,4.0,20052.4620024,0,0,1,3,4,2
13.81,7.76,350.0,8.57,0.78,3.3,9.73,13.81,1019.49,8.66,0,0.85,4.0,20800.0400005,0,0,2,3,4,2
9.19,5.92,15.0,7.14,0.82,2.7,7.99,7.73,1012.04,9.04,0,0.9,4.0,22983.438994,0,1,2,3,4,2
9.02,5.89,12.0,5.93,0.78,2.56,7.38,7.18,1006.82,10.57,0,0.86,4.0,23376.2289961,0,1,2,3,4,2
9.71,2.99,39.0,2.9,0.63,4.28,6.21,7.42,1009.49,13.15,0,0.73,4.0,24115.7540043,0,1,2,0,0,3
8.37,3.19,43.0,2.79,0.73,2.75,5.72,7.04,1013.88,13.1,0,0.75,4.0,25069.8159972,1,1,2,0,3,4
14.48,4.48,160.0,6.55,0.52,2.54,5.2,14.48,1014.29,11.64,0,0.82,4.0,24799.333000000002,0,1,2,3,4,3
17.24,10.43,196.0,10.02,0.51,3.13,10.43,17.24,1007.34,12.09,0,0.82,5.0,22697.1379988,0,0,1,3,2,0
15.18,10.78,202.0,11.78,0.77,3.06,10.78,15.18,1008.41,8.14,0,0.92,4.0,23930.940002800002,0,0,1,3,4,2
17.12,14.44,213.0,13.92,0.79,6.59,14.44,17.12,1009.21,10.9,0,0.9,4.0,23786.5949998,0,0,1,3,4,0
15.88,7.43,270.0,6.23,0.45,5.09,9.37,15.88,1021.32,13.31,0,0.64,5.0,23265.2250008,0,0,1,1,2,3
14.44,3.24,343.0,1.98,0.16,2.6,5.69,14.44,1036.68,13.23,0,0.58,6.0,24573.9389998,0,0,1,1,2,3
16.26,4.6,226.0,3.74,0.19,3.29,5.49,16.26,1030.8,12.76,0,0.62,6.0,25499.5020009,0,0,1,1,2,3
11.41,4.06,229.0,6.17,0.43,4.56,6.94,11.41,1016.78,12.89,0,0.8,4.0,25471.407999400002,0,1,2,3,4,3
11.27,2.59,300.0,4.71,0.41,3.89,5.92,11.27,1015.41,12.79,0,0.81,5.0,26962.940996,0,1,2,3,0,3
13.46,1.41,283.0,2.52,0.31,2.65,3.89,13.46,1025.11,12.96,0,0.64,6.0,23553.5629985,0,0,1,1,2,3
14.06,6.22,131.0,4.54,0.42,2.52,7.11,14.06,1017.46,12.76,0,0.66,5.0,26404.8400003,0,0,1,1,2,3
15.77,7.09,105.0,8.52,0.46,2.19,9.11,15.77,1004.51,11.52,0,0.77,5.0,27501.353999,0,0,1,3,2,0
16.42,10.59,254.0,9.48,0.65,0.61,10.59,16.42,1009.32,10.12,0,0.78,5.0,27948.343999700002,0,0,1,3,4,0
12.18,6.81,20.0,7.63,0.87,4.33,9.06,12.18,1010.67,12.73,0,0.82,4.0,30409.4320006,0,1,2,3,4,2
16.22,7.07,348.0,9.33,0.75,4.53,9.32,16.22,1009.14,10.69,0,0.82,5.0,28194.4950032,0,0,1,3,4,0
24.43,11.44,339.0,12.84,0.47,3.98,11.44,24.46,1014.23,8.93,0,0.75,7.0,27028.4900003,0,0,1,1,2,0
25.37,13.47,343.0,14.32,0.17,2.18,13.47,25.43,1022.31,9.46,0,0.75,6.0,26913.8879998,0,0,1,1,2,0
25.45,15.36,43.0,15.89,0.31,1.93,15.36,25.66,1025.75,7.47,0,0.78,7.0,27115.1510014,0,0,1,1,2,0
24.14,15.81,69.0,12.14,0.09,4.88,15.81,24.14,1023.35,9.83,0,0.64,7.0,27570.6719988,0,0,1,1,2,0
24.64,15.06,76.0,10.24,0.0,5.15,15.06,24.64,1020.27,12.01,0,0.58,7.0,28215.4289973,0,0,1,1,2,0
25.98,13.55,83.0,10.22,0.13,3.3,13.55,25.98,1018.48,13.02,0,0.56,6.0,29319.4939979,0,0,1,1,2,0
